time,latitude,longitude,depth,uo,vo,thetao,so,zos,siconc,sithick,usi,vsi
2026-01-01 00:00:00,-66.5,14.0,0.5,0.2697,-0.1484,-1.2374,34.1015,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,5.0,0.2661,-0.1461,-1.2194,34.115,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,10.0,0.2621,-0.1436,-1.1994,34.13,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,20.0,0.2541,-0.1386,-1.1594,34.16,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,40.0,0.2381,-0.1286,-1.0794,34.22,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,60.0,0.2221,-0.1186,-0.9994,34.28,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,80.0,0.2061,-0.1086,-0.9194,34.34,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,100.0,0.1901,-0.0986,-0.8394,34.4,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.0,150.0,0.1501,-0.0736,-0.6394,34.55,0.0721,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,0.5,0.2697,-0.1533,-1.2473,34.1015,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,5.0,0.2661,-0.151,-1.2293,34.115,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,10.0,0.2621,-0.1485,-1.2093,34.13,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,20.0,0.2541,-0.1435,-1.1693,34.16,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,40.0,0.2381,-0.1335,-1.0893,34.22,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,60.0,0.2221,-0.1235,-1.0093,34.28,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,80.0,0.2061,-0.1135,-0.9293,34.34,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,100.0,0.1901,-0.1035,-0.8493,34.4,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,14.5,150.0,0.1501,-0.0785,-0.6493,34.55,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,15.0,0.5,0.2697,-0.1573,-1.2452,34.1015,0.0706,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,15.0,5.0,0.2661,-0.1551,-1.2272,34.115,0.0706,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,15.0,10.0,0.2621,-0.1526,-1.2072,34.13,0.0706,0.3,0.8751,0.18,-0.1
