time,latitude,longitude,depth,uo,vo,thetao,so,zos,siconc,sithick,usi,vsi
2026-01-01 00:00:00,-66.5,8.0,0.5,0.2697,-0.1512,-1.2444,34.1015,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,5.0,0.2661,-0.149,-1.2264,34.115,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,10.0,0.2621,-0.1465,-1.2064,34.13,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,20.0,0.2541,-0.1415,-1.1664,34.16,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,40.0,0.2381,-0.1315,-1.0864,34.22,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,60.0,0.2221,-0.1215,-1.0064,34.28,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,80.0,0.2061,-0.1115,-0.9264,34.34,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,100.0,0.1901,-0.1015,-0.8464,34.4,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.0,150.0,0.1501,-0.0765,-0.6464,34.55,0.0707,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,0.5,0.2697,-0.1558,-1.2476,34.1015,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,5.0,0.2661,-0.1535,-1.2296,34.115,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,10.0,0.2621,-0.151,-1.2096,34.13,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,20.0,0.2541,-0.146,-1.1696,34.16,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,40.0,0.2381,-0.136,-1.0896,34.22,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,60.0,0.2221,-0.126,-1.0096,34.28,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,80.0,0.2061,-0.116,-0.9296,34.34,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,100.0,0.1901,-0.106,-0.8496,34.4,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,8.5,150.0,0.1501,-0.081,-0.6496,34.55,0.0701,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,9.0,0.5,0.2697,-0.1589,-1.2387,34.1015,0.0719,0.3,0.8751,0.18,-0.1
