time,latitude,longitude,depth,uo,vo,thetao,so,zos,siconc,sithick,usi,vsi
2026-01-01 00:00:00,-66.5,2.0,0.5,0.2697,-0.1539,-1.2478,34.1015,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,5.0,0.2661,-0.1517,-1.2298,34.115,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,10.0,0.2621,-0.1492,-1.2098,34.13,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,20.0,0.2541,-0.1442,-1.1698,34.16,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,40.0,0.2381,-0.1342,-1.0898,34.22,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,60.0,0.2221,-0.1242,-1.0098,34.28,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,80.0,0.2061,-0.1142,-0.9298,34.34,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,100.0,0.1901,-0.1042,-0.8498,34.4,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.0,150.0,0.1501,-0.0792,-0.6498,34.55,0.07,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,0.5,0.2697,-0.1578,-1.244,34.1015,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,5.0,0.2661,-0.1555,-1.226,34.115,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,10.0,0.2621,-0.153,-1.206,34.13,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,20.0,0.2541,-0.148,-1.166,34.16,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,40.0,0.2381,-0.138,-1.086,34.22,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,60.0,0.2221,-0.128,-1.006,34.28,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,80.0,0.2061,-0.118,-0.926,34.34,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,100.0,0.1901,-0.108,-0.846,34.4,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,2.5,150.0,0.1501,-0.083,-0.646,34.55,0.0708,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,0.5,0.2697,-0.1596,-1.229,34.1015,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,5.0,0.2661,-0.1574,-1.211,34.115,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,10.0,0.2621,-0.1549,-1.191,34.13,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,20.0,0.2541,-0.1499,-1.151,34.16,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,40.0,0.2381,-0.1399,-1.071,34.22,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,60.0,0.2221,-0.1299,-0.991,34.28,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,80.0,0.2061,-0.1199,-0.911,34.34,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,100.0,0.1901,-0.1099,-0.831,34.4,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.0,150.0,0.1501,-0.0849,-0.631,34.55,0.0738,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.5,0.5,0.2697,-0.1591,-1.2064,34.1015,0.0783,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.5,5.0,0.2661,-0.1569,-1.1884,34.115,0.0783,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.5,10.0,0.2621,-0.1544,-1.1684,34.13,0.0783,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.5,20.0,0.2541,-0.1494,-1.1284,34.16,0.0783,0.3,0.8751,0.18,-0.1
2026-01-01 00:00:00,-66.5,3.5,40.0,0.2381,-0.1394,-1.0484,34.22,0.0783,0.3,0.8751,0.18,-0.1
