latitude,longitude,valid_time,u10,v10
-66.5,2.0,2026-01-01 00:00:00,7.8057,-2.8041
-66.5,2.5,2026-01-01 00:00:00,7.896,-2.8041
-66.5,3.0,2026-01-01 00:00:00,8.2566,-2.8041
-66.5,3.5,2026-01-01 00:00:00,8.7992,-2.8041
-66.5,4.0,2026-01-01 00:00:00,9.391,-2.8041
-66.5,4.5,2026-01-01 00:00:00,9.887,-2.8041
-66.5,5.0,2026-01-01 00:00:00,10.1659,-2.8041
-66.5,5.5,2026-01-01 00:00:00,10.1593,-2.8041
-66.5,6.0,2026-01-01 00:00:00,9.8689,-2.8041
-66.0,2.0,2026-01-01 00:00:00,7.896,-2.4011
-66.0,2.5,2026-01-01 00:00:00,8.2566,-2.4011
-66.0,3.0,2026-01-01 00:00:00,8.7992,-2.4011
-66.0,3.5,2026-01-01 00:00:00,9.391,-2.4011
-66.0,4.0,2026-01-01 00:00:00,9.887,-2.4011
-66.0,4.5,2026-01-01 00:00:00,10.1659,-2.4011
-66.0,5.0,2026-01-01 00:00:00,10.1593,-2.4011
-66.0,5.5,2026-01-01 00:00:00,9.8689,-2.4011
-66.0,6.0,2026-01-01 00:00:00,9.3658,-2.4011
-65.5,2.0,2026-01-01 00:00:00,8.2566,-2.7326
-65.5,2.5,2026-01-01 00:00:00,8.7992,-2.7326
-65.5,3.0,2026-01-01 00:00:00,9.391,-2.7326
-65.5,3.5,2026-01-01 00:00:00,9.887,-2.7326
-65.5,4.0,2026-01-01 00:00:00,10.1659,-2.7326
-65.5,4.5,2026-01-01 00:00:00,10.1593,-2.7326
-65.5,5.0,2026-01-01 00:00:00,9.8689,-2.7326
-65.5,5.5,2026-01-01 00:00:00,9.3658,-2.7326
-65.5,6.0,2026-01-01 00:00:00,8.7731,-2.7326
-65.0,2.0,2026-01-01 00:00:00,8.7992,-3.4938
-65.0,2.5,2026-01-01 00:00:00,9.391,-3.4938
-65.0,3.0,2026-01-01 00:00:00,9.887,-3.4938
-65.0,3.5,2026-01-01 00:00:00,10.1659,-3.4938
-65.0,4.0,2026-01-01 00:00:00,10.1593,-3.4938
-65.0,4.5,2026-01-01 00:00:00,9.8689,-3.4938
-65.0,5.0,2026-01-01 00:00:00,9.3658,-3.4938
-65.0,5.5,2026-01-01 00:00:00,8.7731,-3.4938
-65.0,6.0,2026-01-01 00:00:00,8.2359,-3.4938
-64.5,2.0,2026-01-01 00:00:00,9.391,-3.9849
-64.5,2.5,2026-01-01 00:00:00,9.887,-3.9849
-64.5,3.0,2026-01-01 00:00:00,10.1659,-3.9849
-64.5,3.5,2026-01-01 00:00:00,10.1593,-3.9849
-64.5,4.0,2026-01-01 00:00:00,9.8689,-3.9849
-64.5,4.5,2026-01-01 00:00:00,9.3658,-3.9849
-64.5,5.0,2026-01-01 00:00:00,8.7731,-3.9849
-64.5,5.5,2026-01-01 00:00:00,8.2359,-3.9849
-64.5,6.0,2026-01-01 00:00:00,7.8858,-3.9849
-64.0,2.0,2026-01-01 00:00:00,9.887,-3.7543
-64.0,2.5,2026-01-01 00:00:00,10.1659,-3.7543
-64.0,3.0,2026-01-01 00:00:00,10.1593,-3.7543
-64.0,3.5,2026-01-01 00:00:00,9.8689,-3.7543
-64.0,4.0,2026-01-01 00:00:00,9.3658,-3.7543
-64.0,4.5,2026-01-01 00:00:00,8.7731,-3.7543
-64.0,5.0,2026-01-01 00:00:00,8.2359,-3.7543
-64.0,5.5,2026-01-01 00:00:00,7.8858,-3.7543
-64.0,6.0,2026-01-01 00:00:00,7.8086,-3.7543
-63.5,2.0,2026-01-01 00:00:00,10.1659,-3.0141
-63.5,2.5,2026-01-01 00:00:00,10.1593,-3.0141
-63.5,3.0,2026-01-01 00:00:00,9.8689,-3.0141
-63.5,3.5,2026-01-01 00:00:00,9.3658,-3.0141
-63.5,4.0,2026-01-01 00:00:00,8.7731,-3.0141
-63.5,4.5,2026-01-01 00:00:00,8.2359,-3.0141
-63.5,5.0,2026-01-01 00:00:00,7.8858,-3.0141
-63.5,5.5,2026-01-01 00:00:00,7.8086,-3.0141
-63.5,6.0,2026-01-01 00:00:00,8.023,-3.0141
-66.5,2.0,2026-01-01 01:00:00,7.7901,-2.6732
-66.5,2.5,2026-01-01 01:00:00,7.8804,-2.6732
-66.5,3.0,2026-01-01 01:00:00,8.241,-2.6732
-66.5,3.5,2026-01-01 01:00:00,8.7836,-2.6732
-66.5,4.0,2026-01-01 01:00:00,9.3754,-2.6732
-66.5,4.5,2026-01-01 01:00:00,9.8715,-2.6732
-66.5,5.0,2026-01-01 01:00:00,10.1504,-2.6732
-66.5,5.5,2026-01-01 01:00:00,10.1438,-2.6732
-66.5,6.0,2026-01-01 01:00:00,9.8534,-2.6732
-66.0,2.0,2026-01-01 01:00:00,7.8804,-2.2703
-66.0,2.5,2026-01-01 01:00:00,8.241,-2.2703
-66.0,3.0,2026-01-01 01:00:00,8.7836,-2.2703
-66.0,3.5,2026-01-01 01:00:00,9.3754,-2.2703
-66.0,4.0,2026-01-01 01:00:00,9.8715,-2.2703
-66.0,4.5,2026-01-01 01:00:00,10.1504,-2.2703
-66.0,5.0,2026-01-01 01:00:00,10.1438,-2.2703
-66.0,5.5,2026-01-01 01:00:00,9.8534,-2.2703
-66.0,6.0,2026-01-01 01:00:00,9.3502,-2.2703
-65.5,2.0,2026-01-01 01:00:00,8.241,-2.6018
-65.5,2.5,2026-01-01 01:00:00,8.7836,-2.6018
-65.5,3.0,2026-01-01 01:00:00,9.3754,-2.6018
-65.5,3.5,2026-01-01 01:00:00,9.8715,-2.6018
-65.5,4.0,2026-01-01 01:00:00,10.1504,-2.6018
-65.5,4.5,2026-01-01 01:00:00,10.1438,-2.6018
-65.5,5.0,2026-01-01 01:00:00,9.8534,-2.6018
-65.5,5.5,2026-01-01 01:00:00,9.3502,-2.6018
-65.5,6.0,2026-01-01 01:00:00,8.7575,-2.6018
-65.0,2.0,2026-01-01 01:00:00,8.7836,-3.363
-65.0,2.5,2026-01-01 01:00:00,9.3754,-3.363
-65.0,3.0,2026-01-01 01:00:00,9.8715,-3.363
-65.0,3.5,2026-01-01 01:00:00,10.1504,-3.363
-65.0,4.0,2026-01-01 01:00:00,10.1438,-3.363
-65.0,4.5,2026-01-01 01:00:00,9.8534,-3.363
-65.0,5.0,2026-01-01 01:00:00,9.3502,-3.363
-65.0,5.5,2026-01-01 01:00:00,8.7575,-3.363
-65.0,6.0,2026-01-01 01:00:00,8.2204,-3.363
-64.5,2.0,2026-01-01 01:00:00,9.3754,-3.854
-64.5,2.5,2026-01-01 01:00:00,9.8715,-3.854
-64.5,3.0,2026-01-01 01:00:00,10.1504,-3.854
-64.5,3.5,2026-01-01 01:00:00,10.1438,-3.854
-64.5,4.0,2026-01-01 01:00:00,9.8534,-3.854
-64.5,4.5,2026-01-01 01:00:00,9.3502,-3.854
-64.5,5.0,2026-01-01 01:00:00,8.7575,-3.854
-64.5,5.5,2026-01-01 01:00:00,8.2204,-3.854
-64.5,6.0,2026-01-01 01:00:00,7.8703,-3.854
-64.0,2.0,2026-01-01 01:00:00,9.8715,-3.6234
-64.0,2.5,2026-01-01 01:00:00,10.1504,-3.6234
-64.0,3.0,2026-01-01 01:00:00,10.1438,-3.6234
-64.0,3.5,2026-01-01 01:00:00,9.8534,-3.6234
-64.0,4.0,2026-01-01 01:00:00,9.3502,-3.6234
-64.0,4.5,2026-01-01 01:00:00,8.7575,-3.6234
-64.0,5.0,2026-01-01 01:00:00,8.2204,-3.6234
-64.0,5.5,2026-01-01 01:00:00,7.8703,-3.6234
-64.0,6.0,2026-01-01 01:00:00,7.793,-3.6234
-63.5,2.0,2026-01-01 01:00:00,10.1504,-2.8832
-63.5,2.5,2026-01-01 01:00:00,10.1438,-2.8832
-63.5,3.0,2026-01-01 01:00:00,9.8534,-2.8832
-63.5,3.5,2026-01-01 01:00:00,9.3502,-2.8832
-63.5,4.0,2026-01-01 01:00:00,8.7575,-2.8832
-63.5,4.5,2026-01-01 01:00:00,8.2204,-2.8832
-63.5,5.0,2026-01-01 01:00:00,7.8703,-2.8832
-63.5,5.5,2026-01-01 01:00:00,7.793,-2.8832
-63.5,6.0,2026-01-01 01:00:00,8.0074,-2.8832
-66.5,2.0,2026-01-01 02:00:00,7.7445,-2.5568
-66.5,2.5,2026-01-01 02:00:00,7.8348,-2.5568
-66.5,3.0,2026-01-01 02:00:00,8.1954,-2.5568
-66.5,3.5,2026-01-01 02:00:00,8.738,-2.5568
-66.5,4.0,2026-01-01 02:00:00,9.3297,-2.5568
-66.5,4.5,2026-01-01 02:00:00,9.8258,-2.5568
-66.5,5.0,2026-01-01 02:00:00,10.1047,-2.5568
-66.5,5.5,2026-01-01 02:00:00,10.0981,-2.5568
-66.5,6.0,2026-01-01 02:00:00,9.8077,-2.5568
-66.0,2.0,2026-01-01 02:00:00,7.8348,-2.1538
-66.0,2.5,2026-01-01 02:00:00,8.1954,-2.1538
-66.0,3.0,2026-01-01 02:00:00,8.738,-2.1538
-66.0,3.5,2026-01-01 02:00:00,9.3297,-2.1538
-66.0,4.0,2026-01-01 02:00:00,9.8258,-2.1538
-66.0,4.5,2026-01-01 02:00:00,10.1047,-2.1538
-66.0,5.0,2026-01-01 02:00:00,10.0981,-2.1538
-66.0,5.5,2026-01-01 02:00:00,9.8077,-2.1538
-66.0,6.0,2026-01-01 02:00:00,9.3046,-2.1538
-65.5,2.0,2026-01-01 02:00:00,8.1954,-2.4853
-65.5,2.5,2026-01-01 02:00:00,8.738,-2.4853
-65.5,3.0,2026-01-01 02:00:00,9.3297,-2.4853
-65.5,3.5,2026-01-01 02:00:00,9.8258,-2.4853
-65.5,4.0,2026-01-01 02:00:00,10.1047,-2.4853
