latitude,longitude,valid_time,u10,v10
-66.5,8.0,2026-01-01 00:00:00,7.8858,-2.8041
-66.5,8.5,2026-01-01 00:00:00,7.8086,-2.8041
-66.5,9.0,2026-01-01 00:00:00,8.023,-2.8041
-66.5,9.5,2026-01-01 00:00:00,8.4766,-2.8041
-66.5,10.0,2026-01-01 00:00:00,9.0584,-2.8041
-66.5,10.5,2026-01-01 00:00:00,9.6259,-2.8041
-66.5,11.0,2026-01-01 00:00:00,10.0401,-2.8041
-66.5,11.5,2026-01-01 00:00:00,10.1997,-2.8041
-66.5,12.0,2026-01-01 00:00:00,10.0656,-2.8041
-66.0,8.0,2026-01-01 00:00:00,7.8086,-2.4011
-66.0,8.5,2026-01-01 00:00:00,8.023,-2.4011
-66.0,9.0,2026-01-01 00:00:00,8.4766,-2.4011
-66.0,9.5,2026-01-01 00:00:00,9.0584,-2.4011
-66.0,10.0,2026-01-01 00:00:00,9.6259,-2.4011
-66.0,10.5,2026-01-01 00:00:00,10.0401,-2.4011
-66.0,11.0,2026-01-01 00:00:00,10.1997,-2.4011
-66.0,11.5,2026-01-01 00:00:00,10.0656,-2.4011
-66.0,12.0,2026-01-01 00:00:00,9.6705,-2.4011
-65.5,8.0,2026-01-01 00:00:00,8.023,-2.7326
-65.5,8.5,2026-01-01 00:00:00,8.4766,-2.7326
-65.5,9.0,2026-01-01 00:00:00,9.0584,-2.7326
-65.5,9.5,2026-01-01 00:00:00,9.6259,-2.7326
-65.5,10.0,2026-01-01 00:00:00,10.0401,-2.7326
-65.5,10.5,2026-01-01 00:00:00,10.1997,-2.7326
-65.5,11.0,2026-01-01 00:00:00,10.0656,-2.7326
-65.5,11.5,2026-01-01 00:00:00,9.6705,-2.7326
-65.5,12.0,2026-01-01 00:00:00,9.1113,-2.7326
-65.0,8.0,2026-01-01 00:00:00,8.4766,-3.4938
-65.0,8.5,2026-01-01 00:00:00,9.0584,-3.4938
-65.0,9.0,2026-01-01 00:00:00,9.6259,-3.4938
-65.0,9.5,2026-01-01 00:00:00,10.0401,-3.4938
-65.0,10.0,2026-01-01 00:00:00,10.1997,-3.4938
-65.0,10.5,2026-01-01 00:00:00,10.0656,-3.4938
-65.0,11.0,2026-01-01 00:00:00,9.6705,-3.4938
-65.0,11.5,2026-01-01 00:00:00,9.1113,-3.4938
-65.0,12.0,2026-01-01 00:00:00,8.5249,-3.4938
-64.5,8.0,2026-01-01 00:00:00,9.0584,-3.9849
-64.5,8.5,2026-01-01 00:00:00,9.6259,-3.9849
-64.5,9.0,2026-01-01 00:00:00,10.0401,-3.9849
-64.5,9.5,2026-01-01 00:00:00,10.1997,-3.9849
-64.5,10.0,2026-01-01 00:00:00,10.0656,-3.9849
-64.5,10.5,2026-01-01 00:00:00,9.6705,-3.9849
-64.5,11.0,2026-01-01 00:00:00,9.1113,-3.9849
-64.5,11.5,2026-01-01 00:00:00,8.5249,-3.9849
-64.5,12.0,2026-01-01 00:00:00,8.0548,-3.9849
-64.0,8.0,2026-01-01 00:00:00,9.6259,-3.7543
-64.0,8.5,2026-01-01 00:00:00,10.0401,-3.7543
